Date,TPM,IPC General,IPC sin volátiles
3/1/1997,,6.78,7.18
4/1/1997,7.25,6.05,6.86
5/1/1997,,5.44,5.97
6/1/1997,,5.25,5.67
7/1/1997,6.75,5.58,5.6
8/1/1997,6.75,5.56,5.38
9/1/1997,6.75,6.02,5.43
10/1/1997,6.5,6.56,5.36
11/1/1997,,6.29,5.36
12/1/1997,6.5,6.05,5.59
1/1/1998,,6.25,5.93
2/1/1998,,5.23,5.8
3/1/1998,,5.31,5.94
4/1/1998,8.5,5.38,5.86
5/1/1998,,5.33,6.1
6/1/1998,8.5,5.44,6.03
7/1/1998,8.5,5.25,6.0
8/1/1998,,5.19,6.08
9/1/1998,8.5,4.76,6.11
10/1/1998,14.0,4.32,6.83
11/1/1998,,4.28,6.85
12/1/1998,8.5,4.67,6.55
1/1/1999,,3.59,6.0
2/1/1999,7.25,3.81,5.89
3/1/1999,7.25,4.05,5.77
4/1/1999,7.0,4.04,5.8
5/1/1999,,3.97,5.18
6/1/1999,6.0,3.76,4.86
7/1/1999,5.0,3.39,4.39
8/1/1999,,3.25,4.15
9/1/1999,5.0,2.94,3.69
10/1/1999,5.0,2.49,2.74
11/1/1999,,2.57,2.38
12/1/1999,5.0,2.32,2.0
1/1/2000,,2.83,2.18
2/1/2000,5.25,3.33,2.36
3/1/2000,5.25,3.43,2.41
4/1/2000,,3.53,2.37
5/1/2000,,3.64,2.55
6/1/2000,5.5,3.73,2.61
7/1/2000,,3.8,2.61
8/1/2000,5.5,3.86,2.45
9/1/2000,5.0,4.26,2.63
10/1/2000,,4.52,2.71
11/1/2000,,4.68,3.05
12/1/2000,5.0,4.52,3.25
1/1/2001,,4.69,3.15
2/1/2001,4.75,3.79,2.67
3/1/2001,4.5,3.53,2.63
4/1/2001,,3.52,2.39
5/1/2001,,3.75,2.18
6/1/2001,3.75,3.56,2.18
7/1/2001,,3.21,2.29
8/1/2001,3.5,3.77,2.79
9/1/2001,,3.9,2.94
10/1/2001,6.5,3.41,3.12
11/1/2001,,3.06,2.87
12/1/2001,,2.63,2.53
1/1/2002,,2.21,2.51
2/1/2002,6.0,2.53,2.7
3/1/2002,5.5,2.58,2.41
4/1/2002,4.75,2.48,2.5
5/1/2002,,2.13,2.68
6/1/2002,,1.95,2.45
7/1/2002,4.0,2.6,2.34
8/1/2002,3.25,2.18,1.95
9/1/2002,,2.29,1.93
10/1/2002,3.0,3.06,1.93
11/1/2002,,2.98,2.08
12/1/2002,,2.84,2.34
1/1/2003,,3.02,2.41
2/1/2003,,3.83,2.35
3/1/2003,,4.49,2.54
4/1/2003,2.75,4.0,2.76
5/1/2003,,3.51,2.58
6/1/2003,,3.64,2.63
7/1/2003,2.75,3.09,2.6
8/1/2003,2.75,2.87,2.46
9/1/2003,2.75,2.2,2.21
10/1/2003,2.75,1.15,1.78
11/1/2003,,0.92,1.52
12/1/2003,2.75,1.04,1.33
1/1/2004,,0.77,1.08
2/1/2004,,-0.01,0.95
3/1/2004,1.75,-0.75,0.65
4/1/2004,1.75,-0.3,0.32
5/1/2004,,0.62,0.3
6/1/2004,1.75,1.06,0.41
7/1/2004,1.75,1.38,0.59
8/1/2004,,1.6,0.73
9/1/2004,1.75,1.46,0.8
10/1/2004,2.0,1.91,0.82
11/1/2004,,2.48,1.04
12/1/2004,2.25,2.42,1.15
1/1/2005,,2.29,1.24
2/1/2005,2.5,2.18,1.39
3/1/2005,2.75,2.4,1.36
4/1/2005,2.75,2.95,1.56
5/1/2005,,2.68,1.78
6/1/2005,3.25,2.66,1.79
7/1/2005,3.25,3.05,1.89
8/1/2005,3.5,2.96,1.96
9/1/2005,3.75,3.96,2.18
10/1/2005,,4.15,2.42
11/1/2005,,3.65,2.41
12/1/2005,4.5,3.67,2.47
1/1/2006,,4.08,2.45
2/1/2006,4.5,4.08,2.55
3/1/2006,4.75,4.03,2.96
4/1/2006,,3.77,3.19
5/1/2006,,3.74,3.12
6/1/2006,5.0,3.93,3.03
7/1/2006,,3.85,3.01
8/1/2006,5.25,3.81,2.92
9/1/2006,5.25,2.78,2.73
10/1/2006,,2.02,2.61
11/1/2006,,2.09,2.71
12/1/2006,5.25,2.56,2.79
1/1/2007,,2.79,2.98
2/1/2007,5.0,2.7,2.95
3/1/2007,5.0,2.54,2.77
4/1/2007,,2.47,2.77
5/1/2007,,2.86,3.03
6/1/2007,5.0,3.21,3.37
7/1/2007,,3.8,3.93
8/1/2007,5.25,4.65,4.64
9/1/2007,,5.8,5.24
10/1/2007,5.75,6.4,5.61
11/1/2007,,7.39,5.86
12/1/2007,,7.78,6.02
1/1/2008,,7.42,6.14
2/1/2008,6.25,8.03,6.17
3/1/2008,,8.46,6.76
4/1/2008,6.25,8.23,7.06
5/1/2008,,8.8,7.43
6/1/2008,,9.39,7.6
7/1/2008,6.75,9.41,7.29
